xs,acc_av,acc_std,time_av,time_std
1,100.0,0.0,0.3220847124,0.006697456444358019
2,70.0,8.164965809277259,53.4873884834,3.0096609578278195
3,50.0,0.0,60.0,0.0
4,50.0,0.0,60.0,0.0
5,50.0,0.0,60.0,0.0
