xs,acc_av,acc_std,time_av,time_std
1,100.0,0.0,0.2997728126,0.007883544317578255
2,100.0,0.0,3.0303366333,0.08790435314730359
3,50.0,0.0,60.0,0.0
4,50.0,0.0,60.0,0.0
5,50.0,0.0,60.0,0.0
